"local_team","visit_team","local_score","visit_score","match_day","date","match_id"
"Bàsquet Girona","Real Madrid","88","94","JORNADA 1 - Liga Endesa","28/09/2022","103350"
"Carplus Fuenla","Coviran Granada","81","83","JORNADA 1 - Liga Endesa","29/09/2022","103351"
"Monbus Obra","Casademont Zgz","76","73","JORNADA 1 - Liga Endesa","29/09/2022","103352"
"BAXI Manresa","Lenovo Tenerife","70","89","JORNADA 1 - Liga Endesa","29/09/2022","103353"
"UCAM Murcia","Río Breogán","70","84","JORNADA 1 - Liga Endesa","29/09/2022","103354"
"Cazoo Baskonia","Unicaja","103","89","JORNADA 1 - Liga Endesa","30/09/2022","103355"
"Betis","Valencia Basket","78","83","JORNADA 1 - Liga Endesa","30/09/2022","103356"
"Gran Canaria","Barça","88","85","JORNADA 1 - Liga Endesa","30/09/2022","103358"
"Joventut","Surne Bilbao","76","81","JORNADA 1 - Liga Endesa","30/09/2022","103366"
"Casademont Zgz","UCAM Murcia","64","81","JORNADA 2 - Liga Endesa","01/10/2022","103359"
"Coviran Granada","BAXI Manresa","84","87","JORNADA 2 - Liga Endesa","01/10/2022","103360"
"Lenovo Tenerife","Bàsquet Girona","76","67","JORNADA 2 - Liga Endesa","01/10/2022","103361"
"Río Breogán","Carplus Fuenla","78","70","JORNADA 2 - Liga Endesa","02/10/2022","103362"
"Real Madrid","Monbus Obra","93","79","JORNADA 2 - Liga Endesa","02/10/2022","103363"
"Unicaja","Gran Canaria","70","63","JORNADA 2 - Liga Endesa","02/10/2022","103364"
"Surne Bilbao","Betis","85","70","JORNADA 2 - Liga Endesa","02/10/2022","103365"
"Valencia Basket","Joventut","101","97","JORNADA 2 - Liga Endesa","02/10/2022","103349"
"Barça","Cazoo Baskonia","89","74","JORNADA 2 - Liga Endesa","02/10/2022","103348"
"Monbus Obra","Bàsquet Girona","89","63","JORNADA 3 - Liga Endesa","08/10/2022","103347"
"Betis","BAXI Manresa","87","83","JORNADA 3 - Liga Endesa","08/10/2022","103346"
"Joventut","Río Breogán","85","66","JORNADA 3 - Liga Endesa","08/10/2022","103331"
"Gran Canaria","Casademont Zgz","88","72","JORNADA 3 - Liga Endesa","08/10/2022","103332"
"UCAM Murcia","Coviran Granada","82","89","JORNADA 3 - Liga Endesa","09/10/2022","103333"
"Unicaja","Real Madrid","71","76","JORNADA 3 - Liga Endesa","09/10/2022","103334"
"Surne Bilbao","Valencia Basket","71","65","JORNADA 3 - Liga Endesa","09/10/2022","103335"
"Cazoo Baskonia","Lenovo Tenerife","79","85","JORNADA 3 - Liga Endesa","09/10/2022","103336"
"Carplus Fuenla","Barça","56","84","JORNADA 3 - Liga Endesa","09/10/2022","103337"
"Coviran Granada","Surne Bilbao","99","84","JORNADA 4 - Liga Endesa","15/10/2022","103345"
"Carplus Fuenla","Betis","83","77","JORNADA 4 - Liga Endesa","15/10/2022","103139"
"Lenovo Tenerife","Monbus Obra","86","67","JORNADA 4 - Liga Endesa","15/10/2022","103344"
"BAXI Manresa","Barça","78","101","JORNADA 4 - Liga Endesa","15/10/2022","103343"
"Bàsquet Girona","Unicaja","59","73","JORNADA 4 - Liga Endesa","16/10/2022","103342"
"Río Breogán","Gran Canaria","53","71","JORNADA 4 - Liga Endesa","16/10/2022","103341"
"Valencia Basket","UCAM Murcia","74","75","JORNADA 4 - Liga Endesa","16/10/2022","103340"
"Real Madrid","Joventut","96","79","JORNADA 4 - Liga Endesa","16/10/2022","103339"
"Casademont Zgz","Cazoo Baskonia","83","97","JORNADA 4 - Liga Endesa","16/10/2022","103338"
"UCAM Murcia","BAXI Manresa","96","83","JORNADA 5 - Liga Endesa","22/10/2022","103330"
"Río Breogán","Surne Bilbao","86","70","JORNADA 5 - Liga Endesa","22/10/2022","103329"
"Casademont Zgz","Carplus Fuenla","79","82","JORNADA 5 - Liga Endesa","22/10/2022","103328"
"Gran Canaria","Coviran Granada","94","76","JORNADA 5 - Liga Endesa","22/10/2022","103309"
"Betis","Bàsquet Girona","71","79","JORNADA 5 - Liga Endesa","23/10/2022","103307"
"Barça","Lenovo Tenerife","67","65","JORNADA 5 - Liga Endesa","23/10/2022","103306"
"Monbus Obra","Valencia Basket","98","103","JORNADA 5 - Liga Endesa","23/10/2022","103305"
"Joventut","Unicaja","74","65","JORNADA 5 - Liga Endesa","23/10/2022","103304"
"Cazoo Baskonia","Real Madrid","88","82","JORNADA 5 - Liga Endesa","23/10/2022","103303"
"Coviran Granada","Monbus Obra","93","89","JORNADA 6 - Liga Endesa","29/10/2022","103302"
"BAXI Manresa","Río Breogán","70","106","JORNADA 6 - Liga Endesa","29/10/2022","103301"
"Joventut","Casademont Zgz","89","84","JORNADA 6 - Liga Endesa","29/10/2022","103300"
"Gran Canaria","Lenovo Tenerife","70","86","JORNADA 6 - Liga Endesa","29/10/2022","103299"
"Real Madrid","Carplus Fuenla","91","69","JORNADA 6 - Liga Endesa","30/10/2022","103298"
"Unicaja","Betis","106","60","JORNADA 6 - Liga Endesa","30/10/2022","103297"
"Valencia Basket","Barça","80","92","JORNADA 6 - Liga Endesa","30/10/2022","103295"
"Bàsquet Girona","UCAM Murcia","100","89","JORNADA 6 - Liga Endesa","30/10/2022","103296"
"Surne Bilbao","Cazoo Baskonia","70","81","JORNADA 6 - Liga Endesa","30/10/2022","103294"
"Carplus Fuenla","BAXI Manresa","101","97","JORNADA 7 - Liga Endesa","05/11/2022","103293"
"Monbus Obra","Gran Canaria","58","85","JORNADA 7 - Liga Endesa","05/11/2022","103308"
"UCAM Murcia","Joventut","88","76","JORNADA 7 - Liga Endesa","05/11/2022","103310"
"Unicaja","Coviran Granada","94","68","JORNADA 7 - Liga Endesa","06/11/2022","103327"
"Lenovo Tenerife","Surne Bilbao","73","57","JORNADA 7 - Liga Endesa","06/11/2022","103311"
"Barça","Bàsquet Girona","72","69","JORNADA 7 - Liga Endesa","06/11/2022","103326"
"Cazoo Baskonia","Betis","107","103","JORNADA 7 - Liga Endesa","06/11/2022","103323"
"Casademont Zgz","Real Madrid","94","89","JORNADA 7 - Liga Endesa","06/11/2022","103324"
"Río Breogán","Valencia Basket","83","88","JORNADA 7 - Liga Endesa","06/11/2022","103325"
"Betis","Casademont Zgz","67","83","JORNADA 8 - Liga Endesa","19/11/2022","103322"
"Monbus Obra","Unicaja","86","87","JORNADA 8 - Liga Endesa","19/11/2022","103321"
"Lenovo Tenerife","Valencia Basket","94","78","JORNADA 8 - Liga Endesa","19/11/2022","103320"
"Bàsquet Girona","Gran Canaria","69","78","JORNADA 8 - Liga Endesa","19/11/2022","103319"
"Real Madrid","UCAM Murcia","93","57","JORNADA 8 - Liga Endesa","20/11/2022","103318"
"Surne Bilbao","Carplus Fuenla","109","82","JORNADA 8 - Liga Endesa","20/11/2022","103317"
"BAXI Manresa","Cazoo Baskonia","93","80","JORNADA 8 - Liga Endesa","20/11/2022","103316"
"Joventut","Barça","82","79","JORNADA 8 - Liga Endesa","20/11/2022","103315"
"Coviran Granada","Río Breogán","80","70","JORNADA 8 - Liga Endesa","20/11/2022","103314"
"Carplus Fuenla","Joventut","81","85","JORNADA 9 - Liga Endesa","26/11/2022","103313"
"Gran Canaria","BAXI Manresa","99","88","JORNADA 9 - Liga Endesa","26/11/2022","103368"
"Río Breogán","Lenovo Tenerife","61","86","JORNADA 9 - Liga Endesa","26/11/2022","103312"
"Casademont Zgz","Surne Bilbao","67","74","JORNADA 9 - Liga Endesa","26/11/2022","103357"
"UCAM Murcia","Monbus Obra","80","84","JORNADA 9 - Liga Endesa","27/11/2022","103434"
"Betis","Real Madrid","55","73","JORNADA 9 - Liga Endesa","27/11/2022","103369"
"Barça","Coviran Granada","100","82","JORNADA 9 - Liga Endesa","27/11/2022","103422"
"Cazoo Baskonia","Bàsquet Girona","95","68","JORNADA 9 - Liga Endesa","27/11/2022","103421"
"Valencia Basket","Unicaja","67","83","JORNADA 9 - Liga Endesa","27/11/2022","103420"
"BAXI Manresa","Joventut","68","90","JORNADA 10 - Liga Endesa","03/12/2022","103419"
"Surne Bilbao","Gran Canaria","76","72","JORNADA 10 - Liga Endesa","03/12/2022","103418"
"Unicaja","Casademont Zgz","104","78","JORNADA 10 - Liga Endesa","03/12/2022","103417"
"Monbus Obra","Barça","76","74","JORNADA 10 - Liga Endesa","03/12/2022","103416"
"Bàsquet Girona","Río Breogán","66","73","JORNADA 10 - Liga Endesa","04/12/2022","103415"
"Lenovo Tenerife","Carplus Fuenla","97","72","JORNADA 10 - Liga Endesa","04/12/2022","103414"
"Cazoo Baskonia","UCAM Murcia","102","73","JORNADA 10 - Liga Endesa","04/12/2022","103413"
"Real Madrid","Valencia Basket","79","62","JORNADA 10 - Liga Endesa","04/12/2022","103412"
"Coviran Granada","Betis","66","76","JORNADA 10 - Liga Endesa","04/12/2022","103411"
"Carplus Fuenla","Unicaja","85","117","JORNADA 11 - Liga Endesa","10/12/2022","103410"
"UCAM Murcia","Betis","76","72","JORNADA 11 - Liga Endesa","10/12/2022","103409"
"Joventut","Lenovo Tenerife","78","69","JORNADA 11 - Liga Endesa","10/12/2022","103408"
"Casademont Zgz","Coviran Granada","73","57","JORNADA 11 - Liga Endesa","10/12/2022","103423"
"Real Madrid","BAXI Manresa","103","89","JORNADA 11 - Liga Endesa","11/12/2022","103424"
"Valencia Basket","Bàsquet Girona","104","69","JORNADA 11 - Liga Endesa","11/12/2022","103425"
"Río Breogán","Barça","74","78","JORNADA 11 - Liga Endesa","11/12/2022","103426"
"Gran Canaria","Cazoo Baskonia","68","96","JORNADA 11 - Liga Endesa","11/12/2022","103442"
"Surne Bilbao","Monbus Obra","77","80","JORNADA 11 - Liga Endesa","11/12/2022","103441"
"Betis","Río Breogán","84","89","JORNADA 12 - Liga Endesa","17/12/2022","103440"
"Monbus Obra","Joventut","74","91","JORNADA 12 - Liga Endesa","17/12/2022","103439"
"UCAM Murcia","Gran Canaria","99","85","JORNADA 12 - Liga Endesa","17/12/2022","103438"
"BAXI Manresa","Surne Bilbao","76","86","JORNADA 12 - Liga Endesa","17/12/2022","103437"
"Bàsquet Girona","Casademont Zgz","78","69","JORNADA 12 - Liga Endesa","18/12/2022","103432"
"Lenovo Tenerife","Real Madrid","67","80","JORNADA 12 - Liga Endesa","18/12/2022","103443"
"Coviran Granada","Valencia Basket","81","110","JORNADA 12 - Liga Endesa","18/12/2022","103436"
"Cazoo Baskonia","Carplus Fuenla","102","88","JORNADA 12 - Liga Endesa","18/12/2022","103435"
"Barça","Unicaja","75","60","JORNADA 12 - Liga Endesa","18/12/2022","103433"
"Río Breogán","Cazoo Baskonia","77","86","JORNADA 13 - Liga Endesa","27/12/2022","103431"
"Surne Bilbao","Real Madrid","80","85","JORNADA 13 - Liga Endesa","27/12/2022","103430"
"Gran Canaria","Valencia Basket","95","89","JORNADA 13 - Liga Endesa","27/12/2022","103429"
"Barça","Casademont Zgz","68","63","JORNADA 13 - Liga Endesa","28/12/2022","103428"
"Unicaja","UCAM Murcia","82","66","JORNADA 13 - Liga Endesa","28/12/2022","103427"
"Joventut","Betis","93","81","JORNADA 13 - Liga Endesa","29/12/2022","103407"
"Lenovo Tenerife","Coviran Granada","98","66","JORNADA 13 - Liga Endesa","29/12/2022","103406"
"Carplus Fuenla","Monbus Obra","79","82","JORNADA 13 - Liga Endesa","30/12/2022","103405"
"BAXI Manresa","Bàsquet Girona","82","79","JORNADA 13 - Liga Endesa","30/12/2022","103386"
"Valencia Basket","Bàsquet Girona","85","89","JORNADA 1 - Liga Endesa","23/09/2023","103773"
"Coviran Granada","UCAM Murcia","101","104","JORNADA 1 - Liga Endesa","23/09/2023","103774"
"Monbus Obra","Zunder Palencia","84","64","JORNADA 1 - Liga Endesa","23/09/2023","103775"
"Unicaja","Lenovo Tenerife","98","75","JORNADA 1 - Liga Endesa","23/09/2023","103776"
"Real Madrid","Casademont Zgz","101","70","JORNADA 1 - Liga Endesa","24/09/2023","103777"
"Dreamland GC","BAXI Manresa","97","92","JORNADA 1 - Liga Endesa","24/09/2023","103778"
"Surne Bilbao","MoraBanc And","95","73","JORNADA 1 - Liga Endesa","24/09/2023","103779"
"Río Breogán","Baskonia","79","88","JORNADA 1 - Liga Endesa","24/09/2023","103781"
"Barça","Joventut","95","79","JORNADA 1 - Liga Endesa","24/09/2023","103789"
"Casademont Zgz","Unicaja","100","92","JORNADA 2 - Liga Endesa","27/09/2023","103782"
"UCAM Murcia","Baskonia","88","76","JORNADA 2 - Liga Endesa","27/09/2023","103783"
"Lenovo Tenerife","Valencia Basket","86","94","JORNADA 2 - Liga Endesa","27/09/2023","103784"
"Joventut","Coviran Granada","86","80","JORNADA 2 - Liga Endesa","28/09/2023","103785"
"Bàsquet Girona","Dreamland GC","88","64","JORNADA 2 - Liga Endesa","28/09/2023","103786"
"Zunder Palencia","Barça","83","84","JORNADA 2 - Liga Endesa","29/09/2023","103787"
"MoraBanc And","Río Breogán","63","69","JORNADA 2 - Liga Endesa","29/09/2023","103788"
"BAXI Manresa","Real Madrid","88","94","JORNADA 2 - Liga Endesa","29/09/2023","103771"
"Monbus Obra","Surne Bilbao","77","78","JORNADA 2 - Liga Endesa","04/10/2023","103772"
"Baskonia","Surne Bilbao","92","72","JORNADA 3 - Liga Endesa","30/09/2023","103770"
"UCAM Murcia","Lenovo Tenerife","80","68","JORNADA 3 - Liga Endesa","30/09/2023","103769"
"Unicaja","Valencia Basket","76","82","JORNADA 3 - Liga Endesa","30/09/2023","103754"
